corpus_id,title,authors,year,field
2648988,Context for Practice,Mikel  Gray ,2017,Medicine
31772107,Context for Practice,Mikel  Gray ,2017,Medicine
19908210,Context for Practice,Mikel  Gray ,2017,Medicine
206139892,Context for Practice,Mikel  Gray ,2018,Medicine
9538876,Context for Practice,Mikel  Gray ,2016,Medicine
42804380,Context for Practice,Mikel  Gray ,2017,Medicine
54341025,Full length article,,1999,
54368551,Full length article,,1998,
54274023,Full length article,,1998,
54374134,Full length article,,1998,
54292952,Full length article,,1998,
54251802,Full length article,,1998,
54424126,Full length article,,1998,
59373652,Angle-dependent reflectance measurements on photovoltaic materials and solar cells,"Antonio  Parretta , Angelo  Sarno , Pierpasquale  Tortora , Haruna  Yakubu , P.  Maddalena , Jianhua  Zhao , Aihua  Wang ",1999,Physics
140021023,Full length article Angle-dependent reflectance measurements on photovoltaic materials and solar cells,"Antonio  Parretta , Angelo  Sarno , Pierpasquale  Tortora , Haruna  Yakubu , P.  Maddalena , Jianhua  Zhao , Aihua  Wang ",1999,Materials Science
84752547,"Nomenclature for factors of the HLA system, update September 2011",Steven G.E.  Marsh ,2012,Biology
206310814,"Nomenclature for factors of the HLA system, update September 2013",Steven G. E.  Marsh ,2013,Medicine
42344070,"Nomenclature for factors of the HLA system, update September 2012",Steven G. E.  Marsh ,2012,Medicine Biology
38547786,"Nomenclature for factors of the HLA system, update September 2011",Steven G. E.  Marsh ,2011,"Biology, Medicine"
86078514,"Nomenclature for factors of the HLA system, update September 2010",S. G. E.  Marsh ,2011,Biology
85659732,"Nomenclature for factors of the HLA system, update September 2011*: Nomenclature",S. G. E. Marsh ,2012,Biology
19986329,"Nomenclature for factors of the HLA system, update September 2010.",Steven G E Marsh ,2011,Medicine Biology
85416606,"Nomenclature for factors of the HLA system, update September 2010",Steven G.E.  Marsh ,2011,Biology
53231137,Neoadjuvant Capecitabine Results in Similar Total Lymph Node Harvests as 5-Fluorouracil but an Increased Number of Lymph Nodes Containing Adenocarcinoma on Resection.,"Katherine  Rhoades , Betsy  Smith , Michael Drew Honaker ",2018,Medicine
52311715,Neoadjuvant Capecitabine Results in Similar Total Lymph Node Harvests as 5-Fluorouracil but an Increased Number of Lymph Nodes Containing Adenocarcinoma on Resection.,"Katherine  Rhoades , Betsy  Smith , Michael Drew Honaker ",2018,Medicine
53108068,Neoadjuvant Capecitabine Results in Similar Total Lymph Node Harvests as 5-Fluorouracil but an Increased Number of Lymph Nodes Containing Adenocarcinoma on Resection.,"Katherine  Rhoades , Betsy  Smith , Michael Drew Honaker ",2018,Medicine
53945931,Neoadjuvant Capecitabine Results in Similar Total Lymph Node Harvests as 5-Fluorouracil but an Increased Number of Lymph Nodes Containing Adenocarcinoma on Resection.,"Katherine  Rhoades , Betsy  Smith , Michael Drew Honaker ",2018,Medicine
52013456,Neoadjuvant Capecitabine Results in Similar Total Lymph Node Harvests as 5-Fluorouracil but an Increased Number of Lymph Nodes Containing Adenocarcinoma on Resection.,"Katherine  Rhoades , Betsy  Smith , Michael Drew Honaker ",2018,Medicine
53178353,Neoadjuvant Capecitabine Results in Similar Total Lymph Node Harvests as 5-Fluorouracil but an Increased Number of Lymph Nodes Containing Adenocarcinoma on Resection.,"Katherine  Rhoades , Betsy  Smith , Michael Drew Honaker ",2018,Medicine
51934546,Neoadjuvant Capecitabine Results in Similar Total Lymph Node Harvests as 5-Fluorouracil but an Increased Number of Lymph Nodes Containing Adenocarcinoma on Resection.,"Katherine  Rhoades , Betsy  Smith , Michael Drew Honaker ",2018,Medicine
51887645,Neoadjuvant Capecitabine Results in Similar Total Lymph Node Harvests as 5-Fluorouracil but an Increased Number of Lymph Nodes Containing Adenocarcinoma on Resection.,"Katherine  Rhoades , Betsy  Smith , Michael Drew Honaker ",2018,Medicine
189855041,Important announcement,,1986,
189855331,Important announcement,,1985,
189855110,Important announcement,,1985,
198202729,Important announcement,,1987,
189919729,Important announcement,,1987,
189917620,Important announcement,,1987,
189918650,Important announcement,,1985,
189917598,Important announcement,,1986,
182243271,"On several new or poorly-known Oriental Paradoxosomatidae (Diplopoda: Polydesmida), XXIV","S. I.  Golovatch , I. I.  Semenyuk ",2018,Biology
181656296,"On several new or poorly-known Oriental Paradoxosomatidae (Diplopoda: Polydesmida), XXV",S. I.  Golovatch ,2018,Biology
182821223,"On several new or poorly-known Oriental Paradoxosomatidae (Diplopoda: Polydesmida), XVII",S. I.  Golovatch ,2015,Biology
181537675,"On several new or poorly-known Oriental Paradoxosomatidae (Diplopoda: Polydesmida), XX",S. I.  Golovatch ,2016,Biology
182659406,"On several new or poorly-known Oriental Paradoxosomatidae (Diplopoda: Polydesmida), IX",S  Golovatch ,2016,Biology
182919736,"On several new or poorly-known Oriental Paradoxosomatidae (Diplopoda: Polydesmida), XXIII","S. I.  Golovatch , I. I.  Semenyuk ",2018,Biology
83549274,"On several new or poorly-known Oriental Paradoxosomatidae (Diplopoda: Polydesmida), XXI","S. I.  Golovatch , D.  VandenSpiegel , I. I.  Semenyuk ",2016,Biology
181513855,"On several new or poorly-known Oriental Paradoxosomatidae (Diplopoda: Polydesmida), XVIII",S. I.  Golovatch ,2016,Biology
146952611,Association for Africanist Anthropology,Michael  Lambert ,2001,Sociology
147087336,Association for Africanist Anthropology,"Michael  Lambert , Maria  Cattell ",2001,Sociology
146827274,Association for Africanist Anthropology,"Michael  Lambert , Maria G  Cattell ",2000,Sociology
147503306,Association for Africanist Anthropology,"Michael  Lambert , Eric  Gable ",2001,Sociology
147572116,Association for Africanist Anthropology,Michael  Lambert ,2000,Sociology
147166870,Association for Africanist Anthropology,MICHAEL  LAMBERT ,2001,Sociology
146964794,Association for Africanist Anthropology,Michael  Lambert ,2000,Sociology
147633118,Association for Africanist Anthropology,Michael  Lambert ,2001,Sociology
2116963,On Diseased Conditions of the Knee-Joint.,William Paul Swain ,1866,Medicine
7708460,On Diseased Conditions of the Knee-Joint,W. P.  Swain ,1866,Medicine
32378513,On Diseased Conditions of the Knee-Joint,W. P.  Swain ,1866,Medicine
27109939,On Diseased Conditions of the Knee-Joint,W. P.  Swain ,1866,Medicine
21097843,On Diseased Conditions of the Knee-Joint.,W P Swain ,1866,Medicine
9590488,On Diseased Conditions of the Knee-Joint,W. P.  Swain ,1866,Medicine
40956538,On Diseased Conditions of the Knee-Joint.,W P Swain ,1866,Medicine
46668189,On Diseased Conditions of the Knee-Joint,W. P.  Swain ,1866,Medicine
39922567,[Directives from the commander of the Main Military Medical Administration of the Ministry of Defense of the Russian Federation].,,1998,Medicine
6456775,[Directives from the commander of the Main Military Medical Administration of the Ministry of Defense of the Russian Federation].,,1997,Medicine
33688686,[Directives from the commander of the Main Military Medical Administration of the Ministry of Defense of the Russian Federation].,,1997,Medicine
11908561,[Directives from the commander of the Main Military Medical Administration of the Ministry of Defense of the Russian Federation].,,1998,Medicine
45047605,[Directives from the commander of the Main Military Medical Administration of the Ministry of Defense of the Russian Federation].,,1999,Medicine
33326230,[Directives from the commander of the Main Military Medical Administration of the Ministry of Defense of the Russian Federation].,,1999,Medicine
35098103,[Directives from the commander of the Main Military Medical Administration of the Ministry of Defense of the Russian Federation].,,1998,Medicine
28336765,[Directives from the commander of the Main Military Medical Administration of the Ministry of Defense of the Russian Federation].,,1999,Medicine
189842563,"Congress, Conferences, and Workshops","Yoshihiro  Ohmiya , Antonio G. Souza Filho , Ado  Jorio , Marcos A. Pimenta , Dalva L. Faria , Jeremy D. Glennon ",2016,
189843365,"Congress, Conferences, and Workshops","Yoshihiro  Ohmiya , Robert T. Kennedy , Antonio G. Souza Filho , Ado  Jorio , Marcos A. Pimenta , Dalva L. Faria , Jeremy D. Glennon ",2016,
189844170,"Congress, Conferences, and Workshops","Yoshihiro  Ohmiya , Robert T. Kennedy ",2016,
189843978,"Congress, Conferences, and Workshops","Djuro  Josić , Yoshihiro  Ohmiya ",2015,
189842960,"Congress, Conferences, and Workshops","Nora M. Vizioli , Marina F. M. Tavares , Peter J. Stang , Steven  Holdcroft , Yoshihiro  Ohmiya ",2015,
189843600,"Congress, Conferences, and Workshops","Nora M. Vizioli , Marina F. M. Tavares , Peter J. Stang , Steven  Holdcroft ",2015,
189842803,"Congress, Conferences, and Workshops","Yoshihiro  Ohmiya , Bogusław  Buszewski , Dalva L. Faria , Jeremy D. Glennon ",2016,
189842910,"Congress, Conferences, and Workshops","Yoshihiro  Ohmiya , Jeremy D. Glennon ",2016,
159089409,Hood River Notice of Adopted Amendment (2007-03-28),Hood  River ,2007,Political Science
159230946,Hood River Notice of Adopted Amendment (2006-10-03),Hood  River ,2006,Political Science
211300835,Hood River Notice of Adopted Amendment (2006-03-24),Hood  River ,2006,Political Science
159401063,Hood River Notice of Adopted Amendment (2009-01-16),Hood  River ,2009,Political Science
159325257,Hood River Notice of Adopted Amendment (2008-08-04),Hood  River ,2008,Political Science
204432563,Hood River Notice of Adopted Amendment (2006-01-27),Hood  River ,2006,Political Science
211367701,Hood River Notice of Adopted Amendment (2007-01-03),Hood  River ,2007,
211359965,Hood River Notice of Adopted Amendment (2006-12-29),Hood  River ,2006,
197591620,2.2 Organic industrial products,,1989,
197593765,2.2 Organic industrial products,,1989,
197593798,2.2 Organic industrial products,,1988,
197591757,2.2 Organic industrial products,,1989,
197594703,2.2 Organic industrial products,,1988,
197598479,2.2 Organic industrial products,,1989,
197593620,2.2 Organic industrial products,,1989,
197595960,2.2 Organic industrial products,,1988,
29360004,[54th French Congress of Surgery].,,1952,Medicine
19350651,[54th French Congress of surgery].,,1952,Medicine
10475341,[54th French Congress of surgery].,,1952,Medicine
40891534,[54th French Congress of surgery].,,1952,Medicine
37772977,[54th French Congress of surgery].,,1952,Medicine
42478164,[54th French Congress of surgery].,,1952,Medicine
9701044,[54th French congress of surgery].,,1952,Medicine
12838651,[54th French Congress of surgery].,,1952,Medicine
199438593,JAMA Facial Plastic Surgery Peer Reviewers in 2018.,,2019,
19654532,JAMA Facial Plastic Surgery Peer Reviewers in 2016,,2017,Medicine
3787175,JAMA Facial Plastic Surgery Peer Reviewers in 2017,,2018,Medicine
84841903,JAMA Facial Plastic Surgery Peer Reviewers in 2018,,2019,Medicine
155104311,JAMA Facial Plastic Surgery Peer Reviewers in 2018.,,2019,Medicine
215143469,Surgery,W. J. Penny ,1892,Medicine
215121118,Surgery,W. J. Penny ,1893,Medicine
4560993,In Reply: Guidelines for the Use of Electrophysiological Monitoring for Surgery of the Human Spinal Column and Spinal Cord,"Mark N  Hadley , Christopher D  Shank , Curtis J  Rozzelle , Beverly C  Walters ",2018,Medicine
13818321,In Reply: Guidelines for the Use of Electrophysiological Monitoring for Surgery of the Human Spinal Column and Spinal Cord,"Mark N  Hadley , Christopher D  Shank , Curtis J  Rozzelle , Beverly C  Walters ",2018,Medicine
48353236,In Reply: Guidelines for the Use of Electrophysiological Monitoring for Surgery of the Human Spinal Column and Spinal Cord,"Mark N  Hadley , Christopher D  Shank , Curtis J  Rozzelle , Beverly C  Walters ",2018,Medicine
53569877,In Reply: Guidelines for the Use of Electrophysiological Monitoring for Surgery of the Human Spinal Column and Spinal Cord,"Mark N  Hadley , Christopher D  Shank , Curtis J  Rozzelle , Beverly C  Walters ",2019,Medicine
46895133,In Reply: Guidelines for the Use of Electrophysiological Monitoring for Surgery of the Human Spinal Column and Spinal Cord,"Mark N  Hadley , Christopher D  Shank , Curtis J  Rozzelle , Beverly C  Walters ",2018,Medicine
43556685,Tenth International Conference on Pediatric Mechanical Circulatory Support Systems and Pediatric Cardiopulmonary Perfusion,Akif  Ündar ,2014,Medicine
38148110,Welcome to the 8th International Conference on Pediatric Mechanical Circulatory Support Systems & Pediatric Cardiopulmonary Perfusion,"Akif  Ündar , Atıf  Akçevin , Linda B.  Pauliks , David  Palanzo , Yves  Durandy , John L.  Myers ",2012,Medicine
44968497,Outcomes of the Ninth International Conference on Pediatric Mechanical Circulatory Support Systems and Pediatric Cardiopulmonary Perfusion,"Akif  Ündar , Shigang  Wang , David  Palanzo , Bonnie  Weaver , Kerem  Pekkan , Mehmet  Agirbasli , Jeffrey D.  Zahn , Giovanni B.  Luciani , J. Brian  Clark , Ronald P.  Wilson , Allen R.  Kunselman , Shunji  Sano , Emre  Belli , William S.  Pierce , John L.  Myers ",2014,Medicine
20487953,Outcomes of the Eighth International Conference on Pediatric Mechanical Circulatory Support Systems and Pediatric Cardiopulmonary Perfusion,"Akif  Ündar , Atıf  Akçevin , Tijen  Alkan-Bozkaya , İhsan  Bakır , Linda  Pauliks , David  Palanzo , Yves  Durandy , Huriyet  Ersayin-Kantas , Chitra  Ravishankar , Colleen E.  Gruenwald , Eugen  Sandica , Kyung  Sun , Rıza  Türköz , Kerem  Pekkan , Hakan  Ceyran , Bonnie  Weaver , William S.  Pierce , John L.  Myers ",2013,Medicine
7900379,Welcome to the 11th International Conference on Pediatric Mechanical Circulatory Support Systems and Pediatric Cardiopulmonary Perfusion,"Giovanni Battista  Luciani , Akif  Ündar ",2015,Medicine
32486076,Outcomes of the 10th International Conference on Pediatric Mechanical Circulatory Support Systems and Pediatric Cardiopulmonary Perfusion,"Akif  Ündar , Chitra  Ravishankar , Shigang  Wang , Kerem  Pekkan , Atif  Akçevin , Giovanni B.  Luciani ",2015,Medicine
207029182,Welcome to the Ninth International Conference on Pediatric Mechanical Circulatory Support Systems and Pediatric Cardiopulmonary Perfusion,Akif  Ündar ,2013,Medicine
87856674,Conservation of Natural Resources,"Robert C. Stebbins , Guy-Harold  Smith ",1951,Biology
155124285,Conservation of Natural Resources,"Wesley  Calef , Guy-Harold  Smith ",1951,Economics
135073551,Conservation of Natural Resources.,"J. E. Potzger , Guy-Harold  Smith ",1951,Geography
97746166,Conservation of natural resources,Guy Harold Smith ,1950,Geography
88278647,Conservation of Natural Resources,"Frank  Edminster , Guy-Harold  Smith ",1951,Biology
158895640,Conservation of Natural Resources.,"A. D.  Scott , Guy Harold  Smith ",1952,Economics
155183645,Conservation of Natural Resources,"Robert W.  Harrison , Guy-Harold  Smith ",1951,Economics
38281508,[Debit and credit 1968. A continuing report on educational economics. (IV)].,H  Beloch ,1968,Medicine
24420856,[Debit and credit 1968. A continuing report on educational economics. (1)].,H  Beloch ,1968,Medicine
32874898,[Debit and credit 1968. A continuing report on educational economics. (V)].,H  Beloch ,1968,Medicine
40979415,[Debit and credit 1968. A continuing report on educational economics. (6)].,H  Beloch ,1968,Medicine
30030968,[Debit and credit 1968. A continuing report on educational economics. (II)].,H  Beloch ,1968,Medicine Economics
40583385,[Debit and credit 1968. A continuing report on educational economics. (4)].,H  Beloch ,1968,Medicine
35338941,[Debit and credit 1968. A continuing report on educational economics. (3)].,H  Beloch ,1968,Medicine
39678882,Continuing Medical Education Questions: October 2011,"Kenneth R DeVault , Mihir K Patel , Bashar  Qumseya ",2011,Medicine
25423659,Continuing Medical Education Questions: October 2014,"Bhaumik  Brahmbhatt , William  Palmer , Kenneth R DeVault ",2014,Medicine
1512877,Continuing Medical Education Questions: October 2012,"Kenneth R DeVault , Neel  Choksi , Anoop  Prabhu ",2012,
24124590,Continuing Medical Education Questions: October 2013,"Kenneth  DeVault , Raul J Badillo , Michal J Bartel ",2013,
23413038,Continuing Medical Education Questions: October 2011,"Kenneth R DeVault , Majd  Alsayb , Floyd  Carter , David  Reed , Abdullah  Shatnawei ",2011,
36942009,Continuing Medical Education Questions: October 2014,"Motaz  Al-Hafnawi , Nauzer  Forbes , Morgan  Rosenberg , Kenneth R DeVault ",2014,
81726174,Continuing Medical Education Questions: October 2012,"Kenneth R DeVault , Victoria  Gómez , Saowanee  Ngamruengphong ",2012,Medicine
188833633,Prognosis for the mother (revision number 23),JL  Lauenborg ,2015,Medicine
187638285,Prognosis for the mother (revision number 25),JL  Lauenborg ,2015,Medicine
186998451,Prognosis for the mother (revision number 24),JL  Lauenborg ,2015,Medicine
188800404,Prognosis for the mother (revision number 22),JL  Lauenborg ,2015,Medicine
186466295,Prognosis for the mother (revision number 21),JL  Lauenborg ,2015,Medicine
187048189,Prognosis for the mother (revision number 20),JL  Lauenborg ,2015,Medicine
183014974,Prognosis for the mother (revision number 19),JL  Lauenborg ,2014,Medicine
42304100,Electrocardiogram of the month.,J S Taylor ,1966,Medicine
11108582,Electrocardiogram of the month.,J S Taylor ,1968,Medicine
12216619,Electrocardiogram of the month.,J S Taylor ,1967,Medicine
36369771,Electrocardiogram of the month.,J S Taylor ,1966,Medicine
21869035,Electrocardiogram of the month.,J S Taylor ,1968,Medicine
33822676,Electrocardiogram of the month.,J S Taylor ,1966,Medicine
26329300,Electrocardiogram of the month.,J S Taylor ,1965,Medicine
208785677,Corrections,Benazir  Saleem ,2011,Medicine
208789136,Correction,"G. W. Roberts , C. J. Bruton , T. J. Crow ",2019,
215676017,Correction,"Ann  Rheum , Dis   ",2016,Medicine
215714642,Correction,"Ann  Rheum , Dis   ",2016,
215655311,Correction,"Ann  Rheum , Dis   ",2016,Medicine
124939132,Correction and alignment strategies for the beam separator of thePEEM3 microscope,"Peter  Schmid , Jun  Feng , Howard A. Padmore , David  Robin , Harald  Rose , Ross  Schlueter , Weishi  Wan , Étienne  Forest , YingHarald  Wu , Ying  Wu ",2004,Physics
55860068,Correction and alignment strategies for the beam separator of the PEEM3 microscope - eScholarship,"Peter  Schmid , Jun  Feng , Howard A. Padmore , David  Robin , Harald  Rose , Ross  Schlueter , Weishi  Wan , Étienne  Forest , Ying  Wu ",2004,Engineering
121910048,Error Field Correction in DIII-D Ohmic Plasmas with Either Handedness,"Jong-Kyu  Park , M. J. Schaffer , Robert La Haye , Timothy J. Scoville , Jonathan  Menard ",2011,Physics
121218843,Corrigendum: Error field correction in DIII-D Ohmic plasmas with either handedness,"Jong-Kyu  Park , Michael J.  Schaffer , Robert J.  La Haye , Timothy J.  Scoville , Jonathan E.  Menard ",2012,Physics
54096073,Errata in Last Number,  None ,1823,Medicine
54122731,Errata in Last Number,  None ,1824,Medicine
215289996,Errata in Last Number,  None ,1824,
54113842,Errata in Last Number,  None ,1824,Medicine
49303604,Errata in Last Number,  None ,1826,Medicine
54100473,Errata in Last Number,  None ,1824,Medicine
28336487,Tech Trends: A look into the latest dental and general technology on the market.,"Hubert  Chan , Blake  Ellington ",2017,Medicine
13525608,Tech Trends: A look into the latest dental and general technology on the market.,"Hubert  Chan , Blaine  Wasylkiw ",2017,Medicine
31846983,Tech Trends. A look into the latest dental and general technology on the market.,"Blake  Ellington , Hubert  Chan ",2017,"Engineering, Medicine"
33201419,Tech Trends. A look into the latest dental and general technology on the market.,"Hubert  Chan , Blake  Ellington ",2017,Medicine
36654548,Tech Trends. A look into the latest dental and general technology on the market.,"Hubert  Chan , Blake  Ellington ",2017,Medicine
34084537,Tech Trends. A look into the latest dental and general technology on the market.,"Hubert  Chan , Blake  Ellington ",2016,Medicine
42741501,Proceedings of the British Cardiac Society,,1981,Medicine
35062442,Proceedings of the British Cardiac Society,,1983,Medicine
6050571,Proceedings of the British Cardiac Society,,1982,Medicine
37725197,Proceedings of the british cardiac society.,,1980,Medicine
45512057,Proceedings of The British Cardiac Society,,1982,Medicine
34774460,Proceedings of the British Cardiac Society,,1981,Medicine
155233509,The Nature and Tax Treatment of Capital Gains and Losses,"Alfred G.  Buehler , Lawrence H.  Seltzer ",1952,Economics
155781000,The Nature and Tax Treatment of Capital Gains and Losses,"E. Cary  Brown , Lawrence H.  Seltzer ",1952,Economics
158699946,The Nature and Tax Treatment of Capital Gains and Losses,"Fred L. Rosenbloom , Lawrence H. Seltzer ",1952,Economics
186390832,The Nature and Tax Treatment of Capital Gains and Losses.,"I. G.  Butler , Lawrence M.  Seltzer ",1952,
155434450,The Nature and Tax Treatment of Capital Gains and Losses,"Earl A.  Saliers , Lawrence H.  Seltzer ",1952,Economics
155301502,The Nature and Tax Treatment of Capital Gains and Losses.,"Mabel  Newcomer , Lawrence H.  Seltzer ",1952,Economics
128669643,Caribbean Report 07-03-1990,"Sonia  Fraser , Prosper  Avril , Jerry  Timmins , Robert Le Gendre , Julia  Jackson , Lionel  Martin , Wes  Hall , Brian  Redhead ",1990,Geography
204671149,Caribbean Report 21-02-1990,"Sonia  Fraser , Arnold  Markowitz , A.N.R.  Robinson , Neil  Buxton , Michael  Norton , Lloyd  Honeyghan , Ian  Dark ",1990,
71401393,Caribbean Report 27-02-1990,"Sonia  Fraser , Rudolph  Polanen , Lionel  Martin , Graham  Cooper , Hugh  Crosskill , Charles  Savarin , Clive  Lloyd ",1990,"History, Medicine"
195197300,Caribbean Report 28-02-1992,"Hugh  Crosskill , Edwin  Carrington , Janey  Buchan , Vivian  Richards , Tony  Fraser ",1992,
204694812,Caribbean Report 12-01-1990,"Sonia  Fraser , Bob  King , Ira  Mathur , James  Jones , Tracy  Wilson , Rob  DeJean , Lynsey  Russell , Edna  Fortescue , John  Shatner , Hilroy  Humphreys , Ian  Dark ",1990,
204690367,Caribbean Report 26-01-1990,"Sonia  Fraser , Adrian  Porter , Margaret  Tutwiler , Brian  Jarman , Franson  Louie , Lynsey  Horn , Ira  Mathur , Stanley  Odle , Orlando  Marville , Keith  Shervington ",1990,
39446343,The authors reply.,"Neal J Thomas , Douglas F Willson , Philippe  Jouvet ",2015,Medicine
38833864,The authors reply,"Lincoln S.  Smith , Robinder G.  Khemani , Simon  Erickson , Douglas F.  Willson , Philippe  Jouvet , Neal J.  Thomas ",2015,Medicine
